City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Tadine,NC,-21.55,167.8833,75.87,65,2,15.23,clear sky
302,Leh,IN,34.1667,77.5833,26.08,52,100,1.92,overcast clouds
303,San Andres,CO,12.5847,-81.7006,82.42,83,75,10.36,light intensity drizzle
304,Carnarvon,AU,-24.8667,113.6333,71.67,56,75,17.27,broken clouds
305,Hualmay,PE,-11.0964,-77.6139,64.56,81,7,8.34,clear sky
306,Ixtapa,MX,20.7,-105.2,73.85,94,7,1.92,clear sky
307,Birao,CF,10.2849,22.7882,74.07,42,83,2.57,broken clouds
308,Lompoc,US,34.6391,-120.4579,60.01,85,1,5.75,clear sky
309,Pemangkat,ID,1.1667,108.9667,85.6,66,79,4.05,broken clouds
310,Kamenka,RU,51.3223,42.7678,38.75,67,0,5.21,clear sky
311,Verkhnyaya Inta,RU,65.9811,60.3094,1.99,89,5,6.51,clear sky
312,Podosinovets,RU,60.2776,47.0659,40.95,87,100,3.2,overcast clouds
313,Kavaratti,IN,10.5669,72.642,81.72,78,92,7.45,overcast clouds
314,Virginia Beach,US,36.8529,-75.978,63.01,84,1,6.91,clear sky
315,Hambantota,LK,6.1241,81.1185,82.74,89,20,2.3,few clouds
316,Chuy,UY,-33.6971,-53.4616,63.21,98,92,6.55,overcast clouds
317,Ilhabela,BR,-23.7781,-45.3581,69.64,97,100,8.86,overcast clouds
318,Bella Vista,US,36.4295,-94.2316,50.36,83,1,5.99,clear sky
319,Fuyang,CN,32.9,115.8167,68.13,53,63,9.93,broken clouds
320,Colares,PT,38.7992,-9.4469,68.99,86,94,5.99,overcast clouds
321,Qiongshan,CN,20.0058,110.3542,80.58,83,75,13.42,broken clouds
322,Honningsvag,NO,70.9821,25.9704,35.49,86,73,16.8,broken clouds
323,Merrill,US,45.1805,-89.6835,39.38,64,90,9.22,overcast clouds
324,Viedma,AR,-40.8135,-62.9967,47.86,81,100,5.53,overcast clouds
325,Kaeo,NZ,-35.1,173.7833,66.33,61,92,5.75,overcast clouds
326,Zehdenick,DE,52.9785,13.3317,51.06,79,69,9.78,broken clouds
327,Hami,CN,42.8,93.45,52.38,41,100,2.51,overcast clouds
328,Flinders,AU,-34.5833,150.8552,74.17,63,100,4.0,overcast clouds
329,Ribeira Grande,PT,38.5167,-28.7,71.04,87,100,7.58,overcast clouds
330,Beckley,US,37.7782,-81.1882,49.69,90,90,1.01,overcast clouds
331,Sinnamary,GF,5.3833,-52.95,78.73,84,72,7.87,broken clouds
332,Bulgan,MN,48.8125,103.5347,36.64,44,99,3.49,overcast clouds
333,Bull Savanna,JM,17.8868,-77.5902,75.99,86,11,6.91,few clouds
334,Lerwick,GB,60.1545,-1.1494,50.0,87,43,20.94,scattered clouds
335,Toamasina,MG,-18.1667,49.3833,73.4,94,75,3.44,light rain
336,Saint-Augustin,CA,51.226,-58.6502,43.97,74,100,8.72,overcast clouds
337,Ler,SS,8.3018,30.1418,73.04,73,97,0.45,overcast clouds
338,Payo,ID,-3.7508,103.6372,80.02,87,100,2.46,overcast clouds
339,Lydenburg,ZA,-25.0978,30.4597,57.4,89,0,0.65,clear sky
340,Sisophon,KH,13.5859,102.9737,84.36,72,70,9.15,broken clouds
341,Poli,TZ,-3.3333,36.8,59.58,91,66,3.89,broken clouds
342,Paray-Le-Monial,FR,46.4546,4.1158,52.99,95,90,3.0,overcast clouds
343,Sobolevo,RU,54.4299,31.8996,36.43,85,0,7.18,clear sky
344,Goianira,BR,-16.4961,-49.4264,70.54,89,100,2.28,moderate rain
345,Samarai,PG,-10.6167,150.6667,83.66,77,100,15.23,overcast clouds
